	Test vehicle:  Car #1				
	Test date:     October 26 2007				
	Driver:        D.Myers				
	Average velocity = 127.998 mph				
	Average acceleration = 183.575 ft/s/s				
	Maximum velocity = 197.046 mph				
	Maximum acceleration = 137.5 ft/s/s				
	"Time, S"	"Distance, m"	"Velocity, ft/s"	"Velocity, mph"	"Acceleration, ft/s/s"
1	0	0	0	0	0
2	0.2	5.5	27.5	18.75	137.5
3	0.4	15.9	52	35.4545	122.5
4	0.6	30.9	75	51.1363	115
5	0.8	49.7	94	64.0909	95.0001
6	1	71.8	110.5	75.3409	82.5
7	1.2	97.1	126.5	86.2499	79.9996
8	1.4	125.4	141.5	96.4773	75.0006
9	1.6	156.6	156	106.364	72.4996
10	1.8	190.4	169	115.227	65.0001
11	2	226.6	181	123.409	60.0001
12	2.2	265.3	193.5	131.932	62.4992
13	2.4	306.1	204	139.091	52.5009
14	2.6	348.9	214	145.909	50.0005
15	2.8	393.5	223	152.045	44.9992
16	3	439.9	232	158.182	44.9997
17	3.2	488	240.5	163.977	42.5003
18	3.4	537.7	248.5	169.432	40.0001
19	3.6	588.8	255.5	174.205	35.0006
20	3.8	641.2	262	178.636	32.4997
21	4	694.6	267	182.045	24.9985
22	4.2	749.2	273	186.137	30.0035
23	4.4	804.7	277.5	189.204	22.4958
24	4.6	861.2	282.5	192.614	25.0034
25	4.8	918.4	286	195	17.4969
26	5	976.2	289	197.046	15.0028
